pretrained,num_fewshot,encoding_scheme,model_size,,hellaswag:acc:pct
google/flan-t5-large,0,concat_all_examples,750.0,106,0.883
google/flan-t5-large,0,sentence_level_segmentation,750.0,167,0.788
google/flan-t5-large,5,concat_all_examples,750.0,175,0.75
google/flan-t5-large,5,concat_each_example,750.0,174,0.756
google/flan-t5-large,5,segment_each_example,750.0,191,0.729
google/flan-t5-large,5,sentence_level_segmentation,750.0,216,0.674
google/flan-t5-xl,0,concat_all_examples,3500.0,4,0.955
google/flan-t5-xl,0,sentence_level_segmentation,3500.0,92,0.792
google/flan-t5-xl,5,concat_all_examples,3500.0,121,0.7
google/flan-t5-xl,5,concat_each_example,3500.0,104,0.742
google/flan-t5-xl,5,segment_each_example,3500.0,110,0.71
google/flan-t5-xl,5,sentence_level_segmentation,3500.0,208,0.573
google/flan-t5-xxl,0,concat_all_examples,11500.0,0,0.96
google/flan-t5-xxl,0,sentence_level_segmentation,11500.0,68,0.751
google/flan-t5-xxl,5,concat_all_examples,11500.0,101,0.663
google/flan-t5-xxl,5,concat_each_example,11500.0,66,0.751
google/flan-t5-xxl,5,segment_each_example,11500.0,70,0.711
google/flan-t5-xxl,5,sentence_level_segmentation,11500.0,245,0.461
