pretrained,num_fewshot,encoding_scheme,model_size,,hellaswag:acc:pct
google/flan-t5-large,0,concat_all_examples,750.0,32,0.8
google/flan-t5-large,0,sentence_level_segmentation,750.0,38,0.761
google/flan-t5-large,5,concat_all_examples,750.0,44,0.733
google/flan-t5-large,5,concat_each_example,750.0,43,0.738
google/flan-t5-large,5,segment_each_example,750.0,52,0.725
google/flan-t5-large,5,sentence_level_segmentation,750.0,55,0.724
google/flan-t5-xl,0,concat_all_examples,3500.0,16,0.704
google/flan-t5-xl,0,sentence_level_segmentation,3500.0,39,0.631
google/flan-t5-xl,5,concat_all_examples,3500.0,33,0.654
google/flan-t5-xl,5,concat_each_example,3500.0,35,0.64
google/flan-t5-xl,5,segment_each_example,3500.0,57,0.598
google/flan-t5-xl,5,sentence_level_segmentation,3500.0,67,0.581
google/flan-t5-xxl,0,concat_all_examples,11500.0,1,0.712
google/flan-t5-xxl,0,sentence_level_segmentation,11500.0,31,0.597
google/flan-t5-xxl,5,concat_all_examples,11500.0,5,0.63
google/flan-t5-xxl,5,concat_each_example,11500.0,4,0.648
google/flan-t5-xxl,5,segment_each_example,11500.0,36,0.551
google/flan-t5-xxl,5,sentence_level_segmentation,11500.0,68,0.498
